event_id,glide_no,country,iso3,disaster_type,alert_level,severity,magnitude,magnitude_unit,population,start_date,end_date,latitude,longitude,historical_disaster_count,average_deaths,average_affected_population,year,aid_received_usd,aid_dependency_percent_gni,electricity_access_pct,real_time_severity_score,historical_risk_score,financial_dependency_score,vulnerability_index,risk_category,estimated_affected_population,estimated_deaths,estimated_required_aid_usd,impact_score,estimated_impact_level,funding_gap_usd,triage_score,urgency_level
1535081,0.0,Tonga,TON,EQ,Green,0.0,5.5,M,0.0,2026-04-13T02:15:01,2026-04-13T02:15:01,-18.4052,-175.4263,10.0,1.7,22518.9,2025,0.0,0.0,50.0,1,1.94,0.0,20.78,Low,33778.0,3.0,4053360.0,10.05,Low,4053360.0,26.67,Routine
1535072,0.0,Colombia,COL,EQ,Green,0.0,4.5,M,0.0,2026-04-13T01:38:57,2026-04-13T01:38:57,6.1481,-72.1083,78.0,46.205128205128204,175507.10256410256,2025,0.0,0.0,50.0,1,15.72,0.0,26.29,Low,263261.0,69.0,31591320.0,169.59,Severe,31591320.0,26.67,Routine
1001270,0.0,Northern Mariana Islands,MNP,TC,Red,0.0,287.0352,km/h,0.0,2026-04-09T00:00:00,2026-04-13T00:00:00,12.2,148.9,5.0,1.0,172.0,2025,0.0,0.0,50.0,3,0.97,0.0,60.39,Medium,258.0,2.0,30960.0,4.03,Low,30960.0,60.0,Heightened
1535051,0.0,Solomon Islands,Unknown,EQ,Green,0.0,4.6,M,0.0,2026-04-12T21:48:39,2026-04-12T21:48:39,-11.7759,163.5376,0.0,0.0,0.0,2025,0.0,0.0,50.0,1,0.0,0.0,20.0,Low,1500.0,8.0,180000.0,16.18,Low,180000.0,26.67,Routine
1535037,0.0,Colombia,COL,EQ,Green,0.0,4.6,M,0.0,2026-04-12T21:00:37,2026-04-12T21:00:37,6.3,-72.5353,78.0,46.205128205128204,175507.10256410256,2025,0.0,0.0,50.0,1,15.72,0.0,26.29,Low,263261.0,69.0,31591320.0,169.59,Severe,31591320.0,26.67,Routine
1535035,0.0,"Andreanof Islands, Aleutian Is.",Unknown,EQ,Green,0.0,4.6,M,0.0,2026-04-12T20:41:17,2026-04-12T20:41:17,50.8756,-172.817,0.0,0.0,0.0,2025,0.0,0.0,50.0,1,0.0,0.0,20.0,Low,1500.0,8.0,180000.0,16.18,Low,180000.0,26.67,Routine
1535030,0.0,United States,USA,EQ,Green,0.0,5.1,M,0.0,2026-04-12T20:14:10,2026-04-12T20:14:10,54.1877,-162.3868,261.0,43.2911877394636,420374.6781609195,2025,0.0,0.0,50.0,1,50.73,0.0,40.29,Medium,630562.0,65.0,75667440.0,205.67,Severe,75667440.0,26.67,Routine
1535031,0.0,Solomon Is.,SLB,EQ,Green,0.0,4.8,M,0.0,2026-04-12T20:06:58,2026-04-12T20:06:58,-11.5575,163.2681,18.0,10.5,18157.444444444445,2025,0.0,0.0,50.0,1,3.63,0.0,21.45,Low,27236.0,16.0,3268320.0,35.27,Moderate,3268320.0,26.67,Routine
1535028,0.0,Russia,RUS,EQ,Green,0.0,5.0,M,0.0,2026-04-12T20:05:06,2026-04-12T20:05:06,49.7449,155.7719,81.0,719.9629629629629,32989.30864197531,2025,0.0,0.0,50.0,1,27.7,0.0,31.08,Low,49484.0,1080.0,5938080.0,2165.94,Severe,5938080.0,26.67,Routine
1535026,0.0,Northern Mariana Is.,MNP,EQ,Green,0.0,4.5,M,0.0,2026-04-12T19:43:51,2026-04-12T19:43:51,13.9055,145.6443,5.0,1.0,172.0,2025,0.0,0.0,50.0,1,0.97,0.0,20.39,Low,258.0,2.0,30960.0,4.03,Low,30960.0,26.67,Routine
