event_id,country,iso3,disaster_type,alert_level,severity,population,start_date,end_date,latitude,longitude
1531726,"South Of Java, Indonesia",,EQ,Green,,,2026-03-29T18:46:50,2026-03-29T18:46:50,-10.8288,113.9756
1531721,Papua New Guinea,PNG,EQ,Green,,,2026-03-29T18:09:56,2026-03-29T18:09:56,-5.4366,153.7281
1531699,Northern Mariana Is.,MNP,EQ,Green,,,2026-03-29T15:06:26,2026-03-29T15:06:26,13.6627,145.1891
1531633,Japan,JPN,EQ,Green,,,2026-03-29T07:07:55,2026-03-29T07:07:55,27.9924,128.1032
1531609,Taiwan,TWN,EQ,Green,,,2026-03-29T03:12:17,2026-03-29T03:12:17,22.2967,120.5361
1531608,Greece,GRC,EQ,Green,,,2026-03-29T03:01:58,2026-03-29T03:01:58,38.2032,20.841
1027977,Bangladesh,BGD,WF,Green,,,2026-03-24T00:00:00,2026-03-29T00:00:00,21.599930117275374,92.46500146752408
1028000,Venezuela,VEN,WF,Green,,,2026-03-25T00:00:00,2026-03-29T00:00:00,9.107596151213905,-68.07938062314967
1028001,Myanmar,MMR,WF,Green,,,2026-03-24T00:00:00,2026-03-29T00:00:00,19.20578437243412,97.02371278813654
1028002,Thailand,THA,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,18.97528361075449,99.05278617792905
1028003,Thailand,THA,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,18.882806318847663,98.7212095861688
1028004,Myanmar,MMR,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,20.99710347631257,94.04000584735223
1028005,Thailand,THA,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.20319576350438,98.87986193781619
1028006,Myanmar,MMR,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,20.79945008709577,98.71687186791495
1028007,Thailand,THA,WF,Green,,,2026-03-20T00:00:00,2026-03-29T00:00:00,19.284862656417697,100.10184620532652
1028008,Thailand,THA,WF,Green,,,2026-03-19T00:00:00,2026-03-29T00:00:00,19.122186538647394,99.1021649425978
1028009,Thailand,THA,WF,Green,,,2026-03-19T00:00:00,2026-03-29T00:00:00,18.469094471121398,100.52751388617607
1028010,Thailand,THA,WF,Green,,,2026-03-25T00:00:00,2026-03-29T00:00:00,19.028684558584064,97.89595439169086
1028011,Thailand,THA,WF,Green,,,2026-03-24T00:00:00,2026-03-29T00:00:00,18.575639557899564,98.70910942335587
1028012,"Myanmar, Thailand",MMR,WF,Green,,,2026-03-24T00:00:00,2026-03-29T00:00:00,18.538142861600964,97.42890398568
1028013,Thailand,THA,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,17.7926062995654,99.29262078891101
1028014,Laos,LAO,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,18.998519937581378,101.70130309129269
1028015,Laos,LAO,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.464078484643245,102.5560777418294
1028016,Laos,LAO,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.542579724333898,102.50582332065903
1028017,Myanmar,MMR,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,20.61356636567974,98.71153414965104
1028018,Myanmar,MMR,WF,Green,,,2026-03-20T00:00:00,2026-03-29T00:00:00,20.12098418799066,97.56794234958029
