event_id,country,iso3,disaster_type,alert_level,severity,magnitude,population,start_date,end_date,latitude,longitude
1535037,Colombia,COL,EQ,Green,,4.6,,2026-04-12T21:00:36,2026-04-12T21:00:36,6.1683,-72.3959
1535035,"Andreanof Islands, Aleutian Is.",,EQ,Green,,4.6,,2026-04-12T20:41:17,2026-04-12T20:41:17,50.8756,-172.817
1535030,United States,USA,EQ,Green,,5.1,,2026-04-12T20:14:10,2026-04-12T20:14:10,54.1877,-162.3868
1535031,Solomon Is.,SLB,EQ,Green,,4.8,,2026-04-12T20:06:58,2026-04-12T20:06:58,-11.5575,163.2681
1535028,Russia,RUS,EQ,Green,,5.0,,2026-04-12T20:05:06,2026-04-12T20:05:06,49.7449,155.7719
1535026,Northern Mariana Is.,MNP,EQ,Green,,4.5,,2026-04-12T19:43:51,2026-04-12T19:43:51,13.9055,145.6443
1535018,Azerbaijan,AZE,EQ,Green,,4.6,,2026-04-12T18:46:00,2026-04-12T18:46:00,38.5876,49.5691
1001270,Northern Mariana Islands,MNP,TC,Red,,287.0352,,2026-04-09T00:00:00,2026-04-12T18:00:00,11.6,149.5
1534999,Fiji,FJI,EQ,Green,,4.5,,2026-04-12T15:33:02,2026-04-12T15:33:02,-18.1427,-177.8517
1534972,Japan,JPN,EQ,Green,,4.6,,2026-04-12T13:00:43,2026-04-12T13:00:43,38.3039,141.7728
1534964,South Of Panama,,EQ,Green,,4.8,,2026-04-12T11:50:18,2026-04-12T11:50:18,5.9503,-78.7398
1534906,Off W Coast Of Northern Sumatera,,EQ,Green,,5.2,,2026-04-12T02:40:36,2026-04-12T02:40:36,1.9632,94.7702
1534885,Mariana Islands,,EQ,Green,,5.0,,2026-04-12T01:09:42,2026-04-12T01:09:42,18.5002,145.5867
1028309,Myanmar,MMR,WF,Green,,5044.0,,2026-03-31T00:00:00,2026-04-12T00:00:00,13.732006205704817,99.00082206616709
1028308,India,IND,WF,Green,,26236.0,,2026-04-04T00:00:00,2026-04-12T00:00:00,19.27701258897401,81.01630258924088
1028307,Thailand,THA,WF,Green,,5043.0,,2026-04-05T00:00:00,2026-04-12T00:00:00,15.02890120608605,99.32793222676516
1028306,Thailand,THA,WF,Green,,5205.0,,2026-03-28T00:00:00,2026-04-12T00:00:00,18.80714545306831,100.58318012174169
1028305,Laos,LAO,WF,Green,,7357.0,,2026-03-29T00:00:00,2026-04-12T00:00:00,20.655010074656804,101.79010554316835
1028304,Laos,LAO,WF,Green,,8034.0,,2026-04-04T00:00:00,2026-04-12T00:00:00,20.697890109787387,103.86861555273278
1028303,Laos,LAO,WF,Green,,5350.0,,2026-04-05T00:00:00,2026-04-12T00:00:00,18.812547410377558,101.79518231265227
1028302,Laos,LAO,WF,Green,,6336.0,,2026-04-07T00:00:00,2026-04-12T00:00:00,19.780539772640303,104.02098623863884
1028301,Laos,LAO,WF,Green,,5863.0,,2026-04-07T00:00:00,2026-04-12T00:00:00,18.672478476943546,103.50692975662253
1028300,Laos,LAO,WF,Green,,5116.0,,2026-04-07T00:00:00,2026-04-12T00:00:00,18.195601456318766,105.06481842015376
1028299,Australia,AUS,WF,Green,,8545.0,,2026-04-09T00:00:00,2026-04-12T00:00:00,-32.0370801351788,116.47474247867162
1028298,Russian Federation,RUS,WF,Green,,6003.0,,2026-04-11T00:00:00,2026-04-12T00:00:00,48.827418692270335,133.33951391365136
1028297,Laos,LAO,WF,Green,,5082.0,,2026-03-29T00:00:00,2026-04-12T00:00:00,19.067614284664717,102.5393388583954
1028296,"Laos, Thailand",LAO,WF,Green,,5941.0,,2026-04-01T00:00:00,2026-04-12T00:00:00,18.506644154333884,101.16600206862324
1028295,Laos,LAO,WF,Green,,6309.0,,2026-04-02T00:00:00,2026-04-12T00:00:00,18.308221019256294,102.92293577532575
1028294,Thailand,THA,WF,Green,,5102.0,,2026-04-03T00:00:00,2026-04-12T00:00:00,18.413069680344428,97.9714723461835
1028293,Laos,LAO,WF,Green,,7296.0,,2026-04-04T00:00:00,2026-04-12T00:00:00,18.171077820795155,104.79408508417603
1028292,Thailand,THA,WF,Green,,5546.0,,2026-04-07T00:00:00,2026-04-12T00:00:00,18.085138318059663,97.8784331601569
1028291,Australia,AUS,WF,Green,,7995.0,,2026-04-08T00:00:00,2026-04-12T00:00:00,-19.522199472009532,135.60227835024833
1028290,Australia,AUS,WF,Green,,7625.0,,2026-04-10T00:00:00,2026-04-12T00:00:00,-17.581448479151618,127.48341025449007
1028289,Laos,LAO,WF,Green,,5284.0,,2026-04-01T00:00:00,2026-04-12T00:00:00,19.4860390392423,102.21046204801199
1028288,Laos,LAO,WF,Green,,7539.0,,2026-04-07T00:00:00,2026-04-12T00:00:00,18.496006180676957,102.99371948942463
1028287,Thailand,THA,WF,Green,,6369.0,,2026-04-08T00:00:00,2026-04-12T00:00:00,18.107340495428826,102.08286791475084
1028286,India,IND,WF,Green,,6848.0,,2026-04-06T00:00:00,2026-04-12T00:00:00,19.254019712736014,80.92115995831655
1028285,India,IND,WF,Green,,5971.0,,2026-04-06T00:00:00,2026-04-12T00:00:00,19.28933533765142,81.15331482571246
1028284,India,IND,WF,Green,,10151.0,,2026-04-07T00:00:00,2026-04-12T00:00:00,27.09236006066098,82.90932340057743
1028283,India,IND,WF,Green,,10695.0,,2026-04-07T00:00:00,2026-04-12T00:00:00,19.547056698950907,80.95119132738223
1028282,Thailand,THA,WF,Green,,6007.0,,2026-03-29T00:00:00,2026-04-12T00:00:00,18.077469355218813,102.191597251403
1028281,Myanmar,MMR,WF,Green,,5500.0,,2026-03-31T00:00:00,2026-04-12T00:00:00,18.107266033557153,97.49943913961933
