event_id,glide_no,country,iso3,disaster_type,alert_level,severity,magnitude,magnitude_unit,population,start_date,end_date,latitude,longitude
1535086,,Papua New Guinea,PNG,EQ,Green,,5.3,M,,2026-04-13T02:56:01,2026-04-13T02:56:01,-5.1908,153.593
1535081,,Tonga,TON,EQ,Green,,5.5,M,,2026-04-13T02:15:01,2026-04-13T02:15:01,-18.4052,-175.4263
1535072,,Colombia,COL,EQ,Green,,4.5,M,,2026-04-13T01:38:57,2026-04-13T01:38:57,6.1481,-72.1083
1001270,,Northern Mariana Islands,MNP,TC,Red,,287.0352,km/h,,2026-04-09T00:00:00,2026-04-13T00:00:00,12.2,148.9
1535051,,Solomon Islands,,EQ,Green,,4.6,M,,2026-04-12T21:48:39,2026-04-12T21:48:39,-11.7759,163.5376
1535037,,Colombia,COL,EQ,Green,,4.6,M,,2026-04-12T21:00:37,2026-04-12T21:00:37,6.3,-72.5353
1535035,,"Andreanof Islands, Aleutian Is.",,EQ,Green,,4.6,M,,2026-04-12T20:41:17,2026-04-12T20:41:17,50.8756,-172.817
1535030,,United States,USA,EQ,Green,,5.1,M,,2026-04-12T20:14:10,2026-04-12T20:14:10,54.1877,-162.3868
1535031,,Solomon Is.,SLB,EQ,Green,,4.8,M,,2026-04-12T20:06:58,2026-04-12T20:06:58,-11.5575,163.2681
1535028,,Russia,RUS,EQ,Green,,5.0,M,,2026-04-12T20:05:06,2026-04-12T20:05:06,49.7449,155.7719
1535026,,Northern Mariana Is.,MNP,EQ,Green,,4.5,M,,2026-04-12T19:43:51,2026-04-12T19:43:51,13.9055,145.6443
1535018,,Azerbaijan,AZE,EQ,Green,,4.6,M,,2026-04-12T18:46:00,2026-04-12T18:46:00,38.5876,49.5691
1534999,,Fiji,FJI,EQ,Green,,4.5,M,,2026-04-12T15:33:02,2026-04-12T15:33:02,-18.1427,-177.8517
1534972,,Japan,JPN,EQ,Green,,4.6,M,,2026-04-12T13:00:43,2026-04-12T13:00:43,38.3039,141.7728
1534964,,South Of Panama,,EQ,Green,,4.8,M,,2026-04-12T11:50:18,2026-04-12T11:50:18,5.9503,-78.7398
1534906,,Off W Coast Of Northern Sumatera,,EQ,Green,,5.2,M,,2026-04-12T02:40:36,2026-04-12T02:40:36,1.9632,94.7702
1534885,,Mariana Islands,,EQ,Green,,5.0,M,,2026-04-12T01:09:42,2026-04-12T01:09:42,18.5002,145.5867
